epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.684,1.40347,1.606,1.40005,0.54124,0.66916,0.5893,0.24775,1.73401,1.67934,1.70796,0.000663609,0.000663609,0.000663609
2,1067.54,1.41807,1.25057,1.39103,0.78799,0.78185,0.84845,0.41648,1.69153,1.13355,1.53243,0.00124248,0.00124248,0.00124248
3,1576.29,1.40234,1.17804,1.3853,0.72224,0.74695,0.7428,0.34379,1.71637,1.73479,1.5668,0.00173335,0.00173335,0.00173335
4,2091.17,1.39035,1.13984,1.37528,0.75462,0.8726,0.83005,0.40864,1.53551,1.42016,1.42004,0.001604,0.001604,0.001604
5,2669.26,1.33859,1.08618,1.34714,0.89971,0.89244,0.93869,0.53285,1.37439,0.89505,1.2958,0.001472,0.001472,0.001472
6,3137.9,1.29441,0.90222,1.33561,0.90578,0.90595,0.93694,0.50188,1.46465,0.89333,1.39359,0.00134,0.00134,0.00134
7,3605.36,1.24607,0.84484,1.31153,0.90126,0.9075,0.94861,0.56683,1.2932,0.86512,1.26902,0.001208,0.001208,0.001208
8,4109.49,1.21098,0.79622,1.29117,0.9309,0.91696,0.95618,0.58949,1.25206,0.79996,1.25899,0.001076,0.001076,0.001076
9,4756.25,1.17382,0.77255,1.26105,0.91246,0.91623,0.95611,0.59219,1.2581,0.7976,1.24313,0.000944,0.000944,0.000944
10,5509.07,1.15236,0.74075,1.25069,0.91792,0.92496,0.96196,0.6152,1.19019,0.75585,1.19695,0.000812,0.000812,0.000812
11,6086.53,1.1095,0.714,1.23182,0.92154,0.94066,0.95763,0.62018,1.17709,0.72259,1.19935,0.00068,0.00068,0.00068
12,6622.8,1.08449,0.69496,1.21915,0.92681,0.9267,0.96241,0.61349,1.17624,0.73277,1.19254,0.000548,0.000548,0.000548
13,7125.65,1.05088,0.66869,1.20299,0.93997,0.94066,0.97171,0.63598,1.13705,0.68082,1.17637,0.000416,0.000416,0.000416
14,7630.79,1.02574,0.64365,1.18972,0.93595,0.93717,0.96941,0.63277,1.12859,0.69112,1.18159,0.000284,0.000284,0.000284
15,8185.8,1.00208,0.62993,1.17749,0.93568,0.93935,0.97105,0.64236,1.11126,0.67291,1.16997,0.000152,0.000152,0.000152
